organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date
kde, knewstuff, https://github.com/KDE/knewstuff.git,14,1334,63, C++,82.6, false,2013-12-20,2022-05-19
kde, akonadi, https://github.com/KDE/akonadi.git,20,12746,124, C++,96, false,2006-12-27,2022-05-19
kde, kmail, https://github.com/KDE/kmail.git,54,26376,168, C++,95.5, false,1997-12-26,2022-05-19
kde, heaptrack, https://github.com/KDE/heaptrack.git,1900,1189,47, C++,87.4, false,2013-05-31,2022-05-19
kde, spectacle, https://github.com/KDE/spectacle.git,132,1345,75, C++,88.9, false,2015-12-31,2022-05-12
kde, kitinerary, https://github.com/KDE/kitinerary.git,16,2189,23, C++,97.5, false,2017-12-28,2022-05-19
kde, itinerary, https://github.com/KDE/itinerary.git,25,1827,20, C++,66.8, false,2018-12-30,2022-05-19
kde, kdevelop, https://github.com/KDE/kdevelop.git,348,42720,246, C++,92.2, false,1999-12-22,2022-05-19
kde, releaseme, https://github.com/KDE/releaseme.git,4,1391,43, Ruby,74.8, false,2008-12-10,2022-05-19
kde, discover, https://github.com/KDE/discover.git,63,8675,87, C++,81.1, false,2010-12-31,2022-05-19
kde, plasma-remotecontrollers, https://github.com/KDE/plasma-remotecontrollers.git,0,87,4, C++,86, false,2022-01-05,2022-05-19
kde, xdg-desktop-portal-kde, https://github.com/KDE/xdg-desktop-portal-kde.git,37,479,31, C++,87.2, false,2016-12-22,2022-05-19
kde, sddm-kcm, https://github.com/KDE/sddm-kcm.git,7,649,36, C++,73.1, false,2013-03-22,2022-05-19
kde, qqc2-breeze-style, https://github.com/KDE/qqc2-breeze-style.git,2,242,12, QML,69.1, false,2020-12-25,2022-02-25
kde, powerdevil, https://github.com/KDE/powerdevil.git,20,2541,107, C++,94.6, false,2008-12-29,2022-05-19
kde, polkit-kde-agent-1, https://github.com/KDE/polkit-kde-agent-1.git,7,522,35, C++,75.2, false,2008-12-11,2022-05-19
kde, plymouth-kcm, https://github.com/KDE/plymouth-kcm.git,7,286,20, C++,79.5, false,2016-12-31,2022-05-19
kde, plasma-workspace-wallpapers, https://github.com/KDE/plasma-workspace-wallpapers.git,52,338,10, CMake,100, false,2015-12-21,2022-05-19
kde, plasma-vault, https://github.com/KDE/plasma-vault.git,41,381,24, C++,94.4, false,2017-12-09,2022-05-19
kde, plasma-thunderbolt, https://github.com/KDE/plasma-thunderbolt.git,9,184,11, C++,76, false,2018-11-05,2022-04-10
kde, plasma-tests, https://github.com/KDE/plasma-tests.git,2,74,8, CMake,97.5, false,2016-12-27,2022-05-19
kde, plasma-systemmonitor, https://github.com/KDE/plasma-systemmonitor.git,27,569,21, QML,65.6, false,2020-12-22,2022-05-19
kde, plasma-pa, https://github.com/KDE/plasma-pa.git,28,1052,57, C++,64.5, false,2014-10-28,2022-05-19
kde, plasma-nm, https://github.com/KDE/plasma-nm.git,35,3246,90, C++,90, false,2013-12-30,2022-05-19
kde, plasma-nano, https://github.com/KDE/plasma-nano.git,6,182,15, QML,84, false,2018-10-22,2022-05-15
kde, plasma-firewall, https://github.com/KDE/plasma-firewall.git,6,622,19, C++,69, false,2020-12-22,2022-05-19
kde, plasma-browser-integration, https://github.com/KDE/plasma-browser-integration.git,96,1318,28, JavaScript,45.5, false,2017-12-14,2022-05-19
kde, oxygen-sounds, https://github.com/KDE/oxygen-sounds.git,0,23,9, CMake,100, false,2014-05-08,2022-05-19
kde, oxygen, https://github.com/KDE/oxygen.git,10,4468,72, C++,97.3, false,1997-04-13,2022-05-19
kde, milou, https://github.com/KDE/milou.git,8,772,28, C++,63.6, false,2013-12-30,2022-05-19
kde, libksysguard, https://github.com/KDE/libksysguard.git,13,2397,139, C++,85.8, false,1997-04-13,2022-05-19
kde, layer-shell-qt, https://github.com/KDE/layer-shell-qt.git,10,58,12, C++,77.9, false,2021-04-02,2022-05-19
kde, kwrited, https://github.com/KDE/kwrited.git,3,506,26, C++,54.1, false,2008-12-29,2022-05-19
kde, kwallet-pam, https://github.com/KDE/kwallet-pam.git,8,268,26, C,68.5, false,2014-05-08,2022-05-19
kde, ksshaskpass, https://github.com/KDE/ksshaskpass.git,32,209,22, C++,88.4, false,2014-12-14,2022-05-19
kde, kscreenlocker, https://github.com/KDE/kscreenlocker.git,16,942,61, C++,78.9, false,2014-12-28,2022-05-19
kde, kmenuedit, https://github.com/KDE/kmenuedit.git,6,1038,66, C++,97.3, false,1997-12-29,2022-05-19
kde, kgamma5, https://github.com/KDE/kgamma5.git,2,475,42, C++,93.4, false,2003-11-09,2022-05-19
kde, kdecoration, https://github.com/KDE/kdecoration.git,8,290,28, C++,96, false,2014-12-12,2022-05-19
kde, kde-gtk-config, https://github.com/KDE/kde-gtk-config.git,17,932,45, C++,81.7, false,2010-12-30,2022-05-19
kde, kde-cli-tools, https://github.com/KDE/kde-cli-tools.git,18,1935,124, C++,94.5, false,1997-12-20,2022-05-19
kde, kactivitymanagerd, https://github.com/KDE/kactivitymanagerd.git,8,1398,63, C++,90.8, false,2011-12-22,2022-05-18
kde, drkonqi, https://github.com/KDE/drkonqi.git,11,783,53, C++,81.6, false,2014-12-29,2022-05-19
kde, breeze-plymouth, https://github.com/KDE/breeze-plymouth.git,5,186,9, CMake,58.5, false,2016-12-27,2022-05-19
kde, breeze-gtk, https://github.com/KDE/breeze-gtk.git,56,481,44, SCSS,82.9, false,2015-12-23,2022-05-19
kde, breeze-grub, https://github.com/KDE/breeze-grub.git,10,11,0, Shell,100, false,2016-08-04,2021-06-07
kde, breeze, https://github.com/KDE/breeze.git,152,2396,86, C++,96.9, false,2014-12-31,2022-05-19
kde, kdepim-addons, https://github.com/KDE/kdepim-addons.git,10,4641,29, C++,87.8, false,2015-12-31,2022-05-19
kde, bluedevil, https://github.com/KDE/bluedevil.git,23,2395,63, C++,75.7, false,2010-12-30,2022-05-19
kde, konsole, https://github.com/KDE/konsole.git,299,8362,203, C++,96.7, false,1998-12-30,2022-05-18
kde, calligraplan, https://github.com/KDE/calligraplan.git,7,2431,33, C++,95.5, false,2011-12-29,2022-05-19
kde, pimcommon, https://github.com/KDE/pimcommon.git,6,1237,23, C++,94.1, false,2015-12-30,2022-05-19
kde, marble, https://github.com/KDE/marble.git,100,13435,180, C++,93.6, false,2006-12-25,2022-05-19
kde, syntax-highlighting, https://github.com/KDE/syntax-highlighting.git,98,1831,91, HTML,88.8, false,2016-12-19,2022-05-19
kde, incidenceeditor, https://github.com/KDE/incidenceeditor.git,6,893,26, C++,97.2, false,2015-12-30,2022-05-19
kde, kmailtransport, https://github.com/KDE/kmailtransport.git,5,1743,59, C++,92.4, false,2006-12-22,2022-05-19
kde, sonnet, https://github.com/KDE/sonnet.git,32,693,57, C++,90.7, false,2013-12-31,2022-05-14
kde, akonadi-mime, https://github.com/KDE/akonadi-mime.git,3,1722,49, C++,94.3, false,1999-04-11,2022-05-19
kde, smb4k, https://github.com/KDE/smb4k.git,14,2826,16, C++,95.4, false,2009-12-18,2022-05-19
kde, latte-dock, https://github.com/KDE/latte-dock.git,1200,5909,46, C++,55.2, false,2016-12-31,2022-05-19
kde, kwave, https://github.com/KDE/kwave.git,13,3786,23, C++,93.5, false,1998-12-24,2022-05-19
kde, kolf, https://github.com/KDE/kolf.git,12,1496,54, C++,97.2, false,2002-12-30,2022-05-19
kde, knights, https://github.com/KDE/knights.git,17,1132,28, C++,97.6, false,2010-12-31,2022-05-19
kde, knetwalk, https://github.com/KDE/knetwalk.git,10,696,47, C++,74.2, false,2005-12-28,2022-05-19
kde, ktouch, https://github.com/KDE/ktouch.git,46,2178,60, C++,65.8, false,2001-12-26,2022-05-19
