organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date,cloning_error
kde, kcontacts,https://github.com/KDE/kcontacts.git,7,3333,95, C++,97.4, false,1999-04-11,2022-05-16,FALSE
kde, kcron,https://github.com/KDE/kcron.git,7,842,35, C++,98, false,1999-12-30,2022-05-15,FALSE
kde, kreversi,https://github.com/KDE/kreversi.git,7,1265,55, C++,90.1, false,1997-12-11,2022-05-15,FALSE
kde, baloo-widgets,https://github.com/KDE/baloo-widgets.git,7,744,59, C++,93.8, false,2006-11-28,2022-05-15,FALSE
kde, killbots,https://github.com/KDE/killbots.git,7,784,25, C++,95.7, false,2008-12-29,2022-05-15,FALSE
kde, kshisen,https://github.com/KDE/kshisen.git,7,1238,54, C++,96.4, false,1997-12-17,2022-05-15,FALSE
kde, kbruch,https://github.com/KDE/kbruch.git,7,862,50, C++,98.7, false,2002-09-10,2022-05-15,FALSE
kde, kblocks,https://github.com/KDE/kblocks.git,7,711,37, C++,97.1, false,2007-12-18,2022-05-07,FALSE
kde, khelpcenter,https://github.com/KDE/khelpcenter.git,7,2738,89, C++,93.2, false,1999-12-30,2022-05-13,FALSE
kde, ktp-common-internals,https://github.com/KDE/ktp-common-internals.git,7,2010,56, C++,95.5, false,2009-07-05,2022-04-25,FALSE
kde, ksnakeduel,https://github.com/KDE/ksnakeduel.git,7,843,46, C++,95.2, false,1999-12-13,2022-05-07,FALSE
kde, bovo,https://github.com/KDE/bovo.git,7,776,43, C++,97.7, false,2007-12-31,2022-05-09,FALSE
kde, analitza,https://github.com/KDE/analitza.git,7,2339,46, C++,81.3, false,2007-12-30,2022-04-23,FALSE
kde, kdev-ruby,https://github.com/KDE/kdev-ruby.git,7,1231,24, C++,74.9, false,2006-12-03,2022-03-30,FALSE
kde, kmenuedit,https://github.com/KDE/kmenuedit.git,6,1038,66, C++,97.3, false,1997-12-29,2022-05-19,FALSE
kde, akonadi-contacts,https://github.com/KDE/akonadi-contacts.git,6,3174,61, C++,94.1, false,1999-04-11,2022-05-16,FALSE
kde, khangman,https://github.com/KDE/khangman.git,6,1602,57, C++,53, false,2001-12-26,2022-05-16,FALSE
kde, kpimtextedit,https://github.com/KDE/kpimtextedit.git,6,1593,32, C++,97, false,2008-12-09,2022-05-16,FALSE
kde, kldap,https://github.com/KDE/kldap.git,6,948,44, C++,92.1, false,2006-12-22,2022-05-16,FALSE
kde, kdenetwork-filesharing,https://github.com/KDE/kdenetwork-filesharing.git,6,929,48, C++,61.9, false,2002-10-20,2022-05-15,FALSE
kde, kmouth,https://github.com/KDE/kmouth.git,6,722,45, C++,97.9, false,2003-12-28,2022-05-15,FALSE
kde, kmousetool,https://github.com/KDE/kmousetool.git,6,435,35, C++,91.3, false,2003-12-02,2022-05-15,FALSE
kde, muon,https://github.com/KDE/muon.git,6,4142,30, C++,98.9, false,2010-12-31,2022-05-15,FALSE
kde, syndication,https://github.com/KDE/syndication.git,6,871,38, C++,96.8, false,2005-12-14,2022-05-14,FALSE
kde, libkdegames,https://github.com/KDE/libkdegames.git,6,2232,82, C++,54.2, false,2000-12-19,2022-05-04,FALSE
kde, bomber,https://github.com/KDE/bomber.git,6,562,26, C++,94.2, false,2008-12-31,2022-05-07,FALSE
kde, ktimer,https://github.com/KDE/ktimer.git,6,511,37, C++,87.8, false,2001-10-18,2022-05-07,FALSE
kde, libksane,https://github.com/KDE/libksane.git,6,595,39, C++,80.6, false,2007-12-29,2022-04-20,FALSE
kde, kruler,https://github.com/KDE/kruler.git,6,733,46, C++,88.6, false,2000-11-09,2022-05-07,FALSE
kde, kgeography,https://github.com/KDE/kgeography.git,6,1156,54, C++,81.6, false,2004-12-28,2022-05-07,FALSE
kde, kdev-xdebug,https://github.com/KDE/kdev-xdebug.git,6,198,10, C++,98, false,2010-11-28,2022-04-10,FALSE
kde, kcalendarcore,https://github.com/KDE/kcalendarcore.git,5,1317,41, C++,93.9, false,2010-12-12,2022-05-20,FALSE
kde, libkexiv2,https://github.com/KDE/libkexiv2.git,5,823,33, C++,96.9, false,2007-12-30,2022-05-19,FALSE
kde, kmailtransport,https://github.com/KDE/kmailtransport.git,5,1743,59, C++,92.4, false,2006-12-22,2022-05-19,FALSE
kde, ktp-accounts-kcm,https://github.com/KDE/ktp-accounts-kcm.git,5,1212,45, C++,82.6, false,2009-12-15,2022-05-18,FALSE
kde, kdb,https://github.com/KDE/kdb.git,5,2647,24, C++,91.9, false,2003-12-31,2022-05-16,FALSE
